Recipe ID	Recipe Name	Ingredients	Instructions	Total GHG	Energy (g)
10	Sweet and Spicy Stir-fry of Beef and Potato	Beef: 100, Other seasoning: 0, Sugar: 3, Edible oil: 12, Other alcohol: 15, Soy sauce: 18, Other dried food/seaweed: 4.5, Potato: 450, Dried soup: 2.5	['(1) Slice the potatoes into 5mm-wide rounds, then cut vertically into 5mm-wide slices. Soak in a bowl of water for about 5 minutes, drain in a colander, and wipe dry. Sprinkle the beef with potato starch. ', '(2) Heat 1/2 tablespoon of oil in a frying pan, add the potatoes from (1) and fry quickly. Once the oil is coated, add the whole chicken soup, mix, and cover. ', '(3) Steam-fry for about 5 minutes, stirring the whole thing occasionally, then take it out. ', '(4) Heat 1/2 tablespoon of oil in the same frying pan, add the beef from (1) and stir-fry. When the color of the meat changes, add the potatoes from (2) back in, stir-fry, and sprinkle with sake. ', '(5) Add A and mix quickly. ']	907.74	311.38
11	Thick Fried Tofu and Meat Tofu	Water: 30, Beef: 150, Other seasoning: 18, Sugar: 6, Edible oil: 4, Soy sauce: 18, Flavor seasoning: 1.5, Green onion: 100, Fried tofu: 125	['(1) Pour boiling water over the fried tofu to remove oil, then cut in half lengthwise and into 2cm thick pieces. Cut the green onion diagonally into 5cm lengths. ', '(2) Heat oil in a frying pan, add beef and stir-fry. Add the fried tofu from (1) and sear both sides, then add A. ', '(3) When it boils, add the green onions from (1) and simmer for 3 to 4 minutes while coating the tofu with the broth. ']	1267.74	353.16
12	Sweet and Spicy Simmered Thin-sliced Beef	Beef: 150, Green onion: 50, Sauce: 18	['(1) Cut the beef into bite-sized pieces and arrange them in a donut shape on a heat-resistant plate. Slice the green onions diagonally and place on top of the beef. ', '(2) Pour the ``oyster sauce'' over it, loosely cover it with plastic wrap, and heat it in the microwave (600W) for 2 minutes, then turn it upside down and heat it for another minute. ']	1060.72	299.70
13	Sweet and Spicy Stir-fry of Beef and Daikon	Beef: 150, Other seasoning: 5, Sugar: 9, Edible oil: 6, Soy sauce: 18, Flavor seasoning: 3, Green onion: 0, White Radish: 75	['(1) Cut the radish into thin slices and cut the beef into bite-sized pieces. Cut the onion into small pieces. ', '(2) Mix A together. ', '(3) Heat sesame oil in a frying pan and fry the beef from (1). Add A, add the daikon radish from (1) and stir-fry. ', '(5) Place in a bowl and sprinkle with plenty of onions from (1). ']	1042.68	237.20
14	Addictive! Endless Somen	Sugar: 3, Edible oil: 18, Other alcohol: 5, Soy sauce: 6, Green onion: 0, Dried soup: 10, Pork: 150, Egg: 120, Dried udon・Soba: 400, Dried seaweed: 0, Other grains: 0	['(1) Boil the somen according to the directions, drain the water, place in a bowl, add A and stir. ', '(2) Put the minced meat and B into a heat-resistant container, mix well, cover loosely with plastic wrap, and heat in the microwave (600W) for 1 minute and 30 seconds. ', '(3) Take it out, mix it, loosely cover it with plastic wrap, and heat it for another 1 minute to 1 minute and 30 seconds to loosen it. ', '(4) Place the minced meat from (2) and C on each of the somen noodles from (1), and crack an egg into the center. ', '*You can also enjoy it with sesame seeds if you like. ']	926.21	986.88
15	Eggplant and Basil Meat-wrapped Roll	Water: 50, Other leafy vegetables: 8, Sugar: 9, Edible oil: 6, Soy sauce: 18, Flavor seasoning: 0.75, Pork: 240, Eggplant: 160	['(1) Cut the eggplant vertically into quarters. ', '(2) Spread 1 piece of pork, add 1 piece of perilla, and 1 piece of eggplant from (1), and roll. Make 7 more in the same way. ', '(3) Heat oil in a frying pan, arrange the rolls from (2) with the end facing down, and fry both sides. When it's browned, add enough water, cover and steam for about 7 minutes. ', '(4) When the eggplant is cooked, add A and boil. ', '(5) Place in a bowl and sprinkle with chopped green perilla. ']	845.13	363.87
16	Pork Belly and Cabbage with Mayo Stir-fry	Onion: 100, Cabbage: 300, Sauce: 36, Pork: 250, Mayonnaise: 15	['(1) Cut the pork and cabbage into bite-sized pieces. Cut the onion into 1cm wide wedges. ', '(2) Heat a frying pan over high heat, add the pork from (1) and fry until browned on both sides, then remove. ', '(3) Wipe the frying pan quickly with kitchen paper, add the cabbage and onions from (1), stir-fry, add the pork from (2) back in, and turn off the heat. Add A, heat again, and stir-fry. ']	439.64	284.43
17	Pork and Bean Sprouts with Mayo and Egg	Edible oil: 6, Green onion: 0, Sauce: 36, Pork: 150, Egg: 120, Mayonnaise: 15, Bean sprout: 200	['(1) Break the eggs into a bowl. ', '(2) Heat oil in a frying pan, pour in the beaten egg from (1) and mix quickly to make a soft-boiled egg, then take it out. ', '(3) Put ``Pure Select Mayonnaise'' into the same frying pan, heat it up, add the pork and stir-fry. When the meat is browned, add the bean sprouts and stir-fry, then add the oyster sauce, add the hard-boiled egg from (2) back in, and stir-fry. ', '(4) Place in a bowl and sprinkle with small onions. ']	573.33	347.52
18	Melty Egg with Pork and Cabbage	Other seasoning: 100, Edible oil: 24, Cabbage: 300, Pork: 100, Egg: 120	['(1) Cut the pork into bite-sized pieces. Cut the cabbage into bite-sized pieces, and thinly slice the core. Beat the eggs. ', '(2) Heat oil in a frying pan, add half of the cabbage from (1) and stir-fry. When it starts to reduce in bulk, add the remaining cabbage from (1) and stir-fry until it softens, then transfer it to a plate. ', '(3) Heat the same frying pan, add the pork from (1) and stir-fry. Once the meat is cooked, turn off the heat, add the cabbage from (2) back in, and serve "Cook Do Today's Platter". Add. ', '(4) Return to heat, mix everything well, pour the beaten egg from (1) around it, and when the egg begins to harden, stir thoroughly. ']	260.80	223.43
19	Quick Hearty Pork Bowl	Rice: 136.364, Other seasoning: 5, Onion: 100, Green onion: 15, Pork: 100	['(1) Cut the pork into bite-sized pieces and thinly slice the onions. Put the pork and onions in a plastic bag, add the ``flavor paste'' and rub it in. ', '(2) Remove (1) from the bag and spread on a heat-resistant plate, cover with plastic wrap, and heat in the microwave (600W) for 2 minutes. Take it out, turn the pork over, cover it again with plastic wrap, and heat it in the microwave for 1 minute. ', '(3) Pour rice into a bowl, pour over (2), and top with green onions. ']	566.82	350.84
20	Zucchini and Pork with Green Basil Stir-fry	Other leafy vegetables: 4, Edible oil: 24, Flavor seasoning: 5.3, Pork: 100, Green pepper: 75, Pumpkin: 200	['(1) Cut the zucchini into 1cm-wide half-moons, and cut the bell pepper into chunks. Cut the pork into bite-sized pieces. ', '(2) Heat 1 tablespoon of oil in a frying pan, add the zucchini from (1) and stir-fry until softened, then transfer to a plate. ', '(3) Heat 1 tablespoon of oil in the same frying pan, add the pork from (1) and stir-fry. When the meat changes color, add the paprika from (1) and stir-fry. Add back the zucchini from (2), stir-fry quickly, add ``consomme'' and stir-fry, add shiso and mix quickly. ']	510.43	254.67
21	Fluffy Cold Meat Shabu	Other seasoning: 5, Other leafy vegetables: 0, Sugar: 4.5, Edible oil: 9, Lettuce: 60, Other root vegetables: 2.5, Soy sauce: 54, Flavor seasoning: 3, Green onion: 20, Pork: 240, Tomato: 45, Vinegar: 15	['(1) Sprinkle ``Meat Softening Mix'' evenly on one side of the pork and let it sit for at least 5 minutes. Tear the lettuce into bite-sized pieces and cut the cherry tomatoes into quarters. Cut the roots of the shellfish. ', '(2) Boil water in a pot, add the pork from (1) one by one, boil, and drain in a colander to cool. ', '(3) Put A into a bowl and mix to make the sauce. ', '(4) Combine the lettuce, cherry tomatoes, and shellfish from (1) in a bowl, put on the pork from (2), and pour the sauce from (3) on. ']	939.86	372.88
22	Creamy Soy Milk Somen	Other leafy vegetables: 80, Edible oil: 0, Other root vegetables: 0, Other dried food/seaweed: 9, Dried soup: 15, Pork: 100, Dried udon・Soba: 200, Other soy products: 400	['(1) Boil somen, wash with cold water, and drain. Boil the pork and cut the mizuna into 4cm lengths. ', '(2) Match A. ', '(3) Place the somen noodles from (1) in a bowl, then top with the pork, mizuna, and ginger from (1) in that order, then pour (2) over and drizzle with chili oil. ']	1146.41	613.02
23	Garlic Chives and Bean Sprouts	Other seasoning: 13, Other leafy vegetables: 25, Pork: 100, Bean sprout: 250	['(1) Boil somen, wash with cold water, and drain. Boil the pork and cut the mizuna into 4cm lengths. ', '(2) Match A. ', '(3) Place the somen noodles from (1) in a bowl, then top with the pork, mizuna, and ginger from (1) in that order, then pour (2) over and drizzle with chili oil. ']	396.72	141.63
24	Pork with Green Onion and Salt Stir-fry	Edible oil: 6, Flavor seasoning: 3, Green onion: 50, Pork: 200	['(1) Cut the pork into 5cm wide pieces, and cut the green onions diagonally into 1cm wide pieces. ', '(2) Put the pork from (1) into a plastic bag and add half of the ``Hondashi''. Add the green onions from (1), add the remaining ``Hondashi'' and rub it in to make ``Pork belly and green onion pickled in Hondashi''. ', '(3) Heat oil in a frying pan, transfer the contents of the bag from (2), and stir-fry to loosen the meat. ', '*You can also make ``Pork Sukiyaki Style Meat Tofu'' and ``Pork Belly and Green Onion Salted Meat Potato'' using ``Pork Belly and Green Onion Pickled in Hondashi''. ']	644.47	401.18
25	Meat Miso Cabbage Loco Moco Bowl	Rice: 190.909, Other seasoning: 100, Edible oil: 16, Green onion: 50, Cabbage: 300, Pork: 200, Egg: 180	['(1) Cut the cabbage into small bite-sized pieces. Cut the onion into 4cm lengths. ', '(2) Heat 1 tablespoon of oil in a frying pan, add half of the cabbage from (1), fry over high heat, and transfer to a plate. Fry the remaining half in the same way and set aside on a plate. ', '(3) Heat a frying pan, add the minced meat and fry over medium heat until cooked through, then turn off the heat and add the ``Cook Do Today's Platter''. Return to heat and mix well. ', '(4) Add the cabbage from (2) back in, add the small onions from (1) and stir-fry to make meat miso cabbage. ', '(5) Heat 1/3 tablespoon of oil in another frying pan and make fried eggs by cracking eggs one at a time. ', '(6) Pour the rice into a bowl, top with the meat, miso, and cabbage from (4), and top with the fried egg from (5). ']	786.44	537.58
26	Pork Belly with Cabbage	Other seasoning: 5, Edible oil: 12, Cabbage: 160, Pork: 160	['(1) Cut the pork and cabbage into bite-sized pieces. ', '(2) Heat oil in a frying pan, add the pork from (1) and stir-fry. When the meat changes color, add the cabbage and ``flavor paste'' from (1) and stir-fry. ']	527.56	360.31
27	Aromatic Grilled Udon with Oyster Soy Sauce	Other seasoning: 13, Edible oil: 12, Cabbage: 40, Carrot: 10, Pork: 50, Raw Udon・Soba: 230	['(1) Cut the pork into bite-sized pieces. Cut the cabbage into bite-sized pieces, and cut the carrots into strips. ', '(2) Heat oil in a frying pan, add the pork from (1) and stir-fry. When the meat changes color, add the cabbage and carrots from (1) and stir-fry. ', '(3) Add udon noodles and ``flavor paste'', mix well, and stir-fry to loosen. ']	588.71	518.75
28	Chinese Meat Udon	Water: 300, Other seasoning: 5, Green onion: 50, Pork: 50, Raw Udon・Soba: 230	['(1) Cut the pork into bite-sized pieces. Slice the green onion diagonally into 5mm width. ', '(2) Put the pork, green onions, and A from (1) into a pot, heat, and simmer while removing the scum. When it comes to a boil, add the udon noodles and simmer according to the instructions. ']	649.32	412.15
29	Char Siu Lettuce Fried Rice	Rice: 181.818, Other seasoning: 17, Edible oil: 18, Lettuce: 60, Green onion: 25, Egg: 120, Other processed meat: 100	['(1) Cut the chashu into 1cm cubes, and tear the lettuce into bite-sized pieces. Break the eggs into a bowl. ', '(2) Heat 1/2 tablespoon of oil in a frying pan, add the chashu from (1) and stir-fry, then remove. ', '(3) Heat 1 tablespoon of oil in a frying pan, add the beaten egg from (1), and when it becomes half-cooked, add the rice, chashu pork from (2), and green onions and stir-fry well. ', '(4) Add the ``flavor paste'' and mix, then add the lettuce from (1) and stir-fry. ']	609.60	553.03
30	Simple Consommé Stir-fry with Pork and Cabbage	Water: 10, Other seasoning: 0, Edible oil: 12, Onion: 50, Salt: 0, Flavor seasoning: 2.65, Cabbage: 150, Carrot: 40, Pork: 150	['(1) Cut the pork into 2cm wide pieces. Cut the cabbage into chunks and the carrot into thin strips. Cut the onions into thin slices. ', '(2) Heat oil in a frying pan, add the pork from (1) and stir-fry. When the meat changes color, add the onions, carrots, and cabbage from (1) in that order and stir-fry quickly. ', '(3) When the vegetables are soft, add A and stir-fry them all. ']	529.97	211.54
31	Easy Meat and Potatoes	Water: 300, Other seasoning: 18, Sugar: 9, Edible oil: 12, Onion: 80, Other alcohol: 15, Salt: 0, Soy sauce: 12, Flavor seasoning: 3, Carrot: 80, Potato: 240, Pork: 100	['(1) Cut the pork into 2cm wide pieces. Cut the potatoes into chunks, soak in water, and drain. Cut the carrot into small pieces and cut the onion into wedges. ', '(2) Heat oil in a pot, add the pork from (1) and stir-fry. When the meat changes color, add the potatoes, carrots, and onions from (1) and stir-fry. ', '(3) When the oil is completely coated, add A, bring to a boil over high heat, then reduce to medium heat and simmer for about 10 minutes. When the vegetables are soft when pierced with a bamboo skewer, add salt to taste. ']	523.89	279.18
32	Pork Belly with Eggplant	Other seasoning: 100, Edible oil: 24, Pork: 200, Eggplant: 320	['(1) Cut the pork into 4cm wide pieces. Cut the eggplant in half lengthwise, then into bite-sized pieces. ', '(2) Heat oil in a frying pan, add the eggplant from (1) and stir-fry. Once cooked, set aside on a plate. ', '(3) Heat a frying pan, add the pork from (1) and stir-fry. Once cooked, turn off the heat, add the eggplant from (2) back in, add the "Cook Do today's platter" and heat again. , stir-fry. ']	451.56	277.87
33	Meat Miso with Cabbage	Other seasoning: 100, Edible oil: 24, Green onion: 50, Cabbage: 300, Pork: 200	['(1) Cut the cabbage into small bite-sized pieces. Cut the onion into 4cm lengths. ', '(2) Heat 1 tablespoon of oil in a frying pan, add half of the cabbage from (1), fry over high heat, and transfer to a plate. Fry the remaining half in the same way and set aside on a plate. ', '(3) Heat a frying pan, add the minced meat and fry over medium heat until cooked through, then turn off the heat and add the ``Cook Do Today's Platter''. Return to heat and mix well. ', '(4) Add the cabbage from (2) back in, add the small onions from (1), and stir-fry. ']	404.29	202.72
34	Chinese Cabbage and Pork Belly Miso Stir-fry	Other leafy vegetables: 500, Sugar: 9, Edible oil: 12, Other alcohol: 30, Flavor seasoning: 3, Pork: 150, Miso: 36	['(1) Cut the pork into 3cm wide pieces. Cut the Chinese cabbage into chunks. ', '(2) Heat oil in a frying pan, add the pork from (1), and fry until the meat changes color. ', '(3) Add the Chinese cabbage from (1) and A, cover and bring to a simmer. When the Chinese cabbage becomes soft, remove the lid and stir-fry until the water evaporates. ']	1050.21	429.52
35	Pork Belly with Konjac	Other seasoning: 18, Sugar: 4.5, Edible oil: 4, Soy sauce: 18, Flavor seasoning: 1.5, Green onion: 200, Other dried food/seaweed: 0, Pork: 150, Konjac: 250	['(1) Cut the pork into 5cm lengths, rub the konnyaku with salt to remove any bits, then rinse and tear into bite-sized pieces with a spoon. ', '(2) Heat oil in a frying pan, add pork and konnyaku from (1) and stir-fry. Add sugar and stir-fry until it is fully incorporated, then add A and stir-fry until the liquid evaporates. ', '(3) Place in a bowl and sprinkle with sesame seeds and small onions. ']	734.65	361.00
36	Pan-fried! Steamed Layered Cabbage and Pork Shabu	Water: 55, Other seasoning: 0, Edible oil: 6, Other root vegetables: 0, Salt: 1.25, Green onion: 6, Cabbage: 400, Dried soup: 5, Pork: 200, Vinegar: 15	['(1) Cut the cabbage into appropriate sizes. Cut the pork to match the size of the frying pan and sprinkle with black pepper. ', '(2) Alternately layer the cabbage and pork from (1) in a frying pan. (Layer cabbage leaves on top of each other. Pour in A, cover with a lid, and steam-fry for 5 minutes.', '(3) Add B to a bowl and mix to make the green onion salt sauce.', '(4) Slice (2) and place in a bowl, sprinkle with ginger and small onions, and add the green onion salt sauce from (3).']	799.75	431.98
37	Stir-fry Pork with Pea Shoots	Other seasoning: 4, Other leafy vegetables: 60, Edible oil: 3, Other dried food/seaweed: 9, Pork: 150, Dried Mushroom: 20	['(1) Soak the dried shiitake mushrooms in water (out of hours) and slice them thinly. Cut the roots of the bean sprouts. ', '(2) Heat sesame oil in a fluororesin-treated frying pan, add pork and shiitake mushrooms from (1), and stir-fry. ', '(3) When the meat is cooked, add the ``flavor paste'' and the bean sprouts from (1), stir-fry quickly, turn off the heat, add sesame seeds and mix thoroughly. ']	795.47	220.38
38	Pumpkin with Minced Meat Sauce	Water: 130, Other seasoning: 12, Other alcohol: 30, Soy sauce: 9, Flavor seasoning: 3, Green onion: 0, Other dried food/seaweed: 9, Pork: 140, Pumpkin: 200	['(1) Cut the pumpkin into 2cm cubes, place in a heat-resistant dish, cover with plastic wrap, and heat in the microwave (600W) for 3 minutes. ', '(2) Heat a fluororesin-treated frying pan, add the minced meat and fry to loosen it. When the meat changes color, add the pumpkin and A from (1) and bring to a boil. ', '(3) Add the water-soluble potato starch from B, mix quickly, place in a bowl, and sprinkle with small onions. ']	638.26	233.29
39	Sweet and Spicy Pork Bowl	Rice: 200, Sugar: 9, Edible oil: 9, Onion: 100, Other alcohol: 30, Soy sauce: 36, Flavor seasoning: 1.5, Green onion: 0, Cabbage: 100, Pork: 200, Mayonnaise: 0	['(1) Thinly slice the onion and thinly slice the cabbage. ', '(2) Heat sesame oil in a frying pan, add the onion from (1) and stir-fry. When it becomes soft, add the pork and stir-fry. When the meat is cooked, add A and stir-fry until the moisture evaporates. ', '(3) Pour the rice into a bowl and place the cabbage in (1) and then (2) in that order. Squeeze ``Pure Select Mayonnaise'' into the mixture and sprinkle with green onions. ']	992.69	653.90
40	Steamed Pork and Cabbage in Microwave	Other alcohol: 30, Flavor seasoning: 3, Green onion: 0, Pork: 150, Other vegetables: 220	['(1) Cut the pork into 5cm wide pieces. ', '(2) Place the cut vegetables and the pork from (1) in a heat-resistant container, layering them alternately, and sprinkle with the mixture A. Cover with plastic wrap and heat in the microwave (600W) for 6 minutes. ', '(3) Place in a bowl and sprinkle with small onions. ']	672.52	310.68
41	Hearty Pork Soup with Lots of Cabbage	Water: 600, Edible oil: 4.5, Other root vegetables: 5, Flavor seasoning: 6, Green onion: 30, Cabbage: 250, Carrot: 50, Pork: 150, Miso: 45	['(1) Cut the pork and cabbage into bite-sized pieces. Cut the carrot into strips, and cut the ginger into 5mm strips. Slice the green onions diagonally. ', '(2) Heat sesame oil in a pan, add the cabbage from (1), and stir-fry thoroughly until browned and reduced in bulk. Add the carrots and ginger from (1) and stir-fry until heated through. ', '(3) Add the pork from (1), and when the meat changes color, add the green onions from A and (1), simmer for about 5 minutes, and stir in the miso. ']	314.56	191.04
42	Stamina Pork Bowl	Rice: 272.727, Other seasoning: 21, Edible oil: 12, Onion: 210, Green onion: 0, Pork: 360, Egg: 180	['(1) Cut the pork into bite-sized pieces and thinly slice the onions. ', '(2) Heat oil in a frying pan and fry the pork and onions from (1). When the meat is cooked, add the ``flavor paste'' and mix well. ', '(3) Pour rice into a bowl, and top with (2) hot spring eggs and small onions. ']	1091.24	880.75
43	Simple!! Meat and Vegetable Stir-fry	Other seasoning: 17, Edible oil: 12, Pork: 200, Mushroom: 100, Other vegetables: 250	['(1) Cut the pork into bite-sized pieces. Divide the shimeji mushrooms into florets. ', '(2) Heat oil in a frying pan and fry the pork from (1). When the meat changes color, add the shimeji mushrooms from (1) and the cut vegetables and stir-fry. ', '(3) When the vegetables are soft, add the ``flavor paste'' and stir-fry further. ']	624.27	309.41
44	Oyster Pork	Other seasoning: 9, Edible oil: 3, Onion: 50, Other root vegetables: 6, Other alcohol: 22.5, Sauce: 27, Pork: 180, れんこん: 80	['(1) Cut the lotus root into 1cm-wide pieces, boil for about 1 minute, and drain in a colander. Cut the onions into thin slices. ', '(2) Put sesame oil and ginger in a frying pan, heat, and when fragrant, add the onions from (1). ', '(3) When the onions become translucent, add the pork and stir-fry. When the meat changes color, add the lotus root and A from (1) and stir-fry. ']	721.64	258.72
45	Pork Belly with Radish	Water: 100, Other seasoning: 100, Edible oil: 12, Green bean: 0, White Radish: 300, Pork: 200	['(1) Cut the pork into bite-sized pieces, and cut the radish into 1cm-wide pieces. ', '(2) Heat oil in a frying pan, add the radish from (1) and fry until lightly browned on both sides, then transfer to a plate. ', '(3) Heat a frying pan and fry the pork from (1). Once the meat is cooked, turn off the heat, add the radish from (2) back in, add A and mix. ', '(4) Return to heat, bring to a boil, then reduce heat to low, cover, and simmer for 10 minutes. Finally, stir in the broth over high heat. ', '(5) Arrange on a plate and sprinkle with silk pods cut diagonally in half if desired. ']	379.54	248.46
46	Five Vegetable Stir-fry	Other seasoning: 17, Edible oil: 12, Cabbage: 300, Carrot: 87.5, Pork: 150, Green pepper: 70, Mushroom: 50	['(1) Cut the pork into bite-sized pieces, and cut the cabbage into chunks. Cut the carrots into strips and cut the peppers into chunks. Divide the shimeji mushrooms into florets. ', '(2) Heat oil in a frying pan and fry the pork from (1). When the meat changes color, add the carrots, green peppers, cabbage, and shimeji mushrooms from (1) in that order and stir-fry. ', '(3) When the vegetables are soft, add the ``flavor paste'' and stir-fry further. ']	707.66	380.44
47	Stamina Tororo Bowl	Rice: 181.818, Other seasoning: 0, Edible oil: 18, Other root vegetables: 110, Other alcohol: 52.5, Soy sauce: 27, Flavor seasoning: 3, Green onion: 100, Pork: 200, Egg: 120	['(1) Cut the pork into easy-to-eat lengths and rub it in with A. Cut the green onion in half lengthwise and thinly slice diagonally. Grate the long ones. ', '(2) Heat oil in a frying pan, add the green onions from (1), and fry until softened. Add the mixed ``Hondashi'' and B, and mix well. ', '(3) Place rice in a bowl, top with (2), top with the long yam from (1), and the egg yolk. Scatter onions if desired and sprinkle with chili pepper. ']	1172.31	1042.89
48	Stamina Bowl	Rice: 181.818, Edible oil: 18, Other root vegetables: 10, Other alcohol: 52.5, Soy sauce: 27, Flavor seasoning: 3, Green onion: 100, Pork: 200, Egg: 120	['(1) Cut the pork into easy-to-eat lengths and rub it in with A. Cut the green onion in half lengthwise and thinly slice diagonally. ', '(2) Heat oil in a frying pan, add the green onions from (1), and fry until softened. Add the mixed ``Hondashi'' and B, and mix well. ', '(3) Place rice in a bowl, top with (2), and top with egg yolk. Sprinkle with green onions if desired. ']	1073.00	1014.09
